,Video ID,Video Title,Channel Title,Transcript,Duration,Words per Second,Number of Comments,Top10 Comments,Category,Views,Likes,Custom Query,LLM Summary,low ssc characteristics st,high ssc characteristics st,low ssc defined st,high ssc defined st,low ssc characteristics,high ssc characteristics,low ssc defined,high ssc defined,Low SSC Char. Enjoym.,Low SSC Char. Appr.,High SSC Char. Enjoym.,High SSC Char. Appr.,Low SSC Def. Enjoym.,Low SSC Def. Appr.,High SSC Def. Enjoym.,High SSC Def. Appr.
0,,,,,46.841,1.4944172840033303,31,,,67233,3440,,,,,,,,,,,3,2,2,3,4,1,3,3
1,,,,,86.54,2.068407672752484,14032,,,15364719,1011097,,,,,,,,,,,1,2,1,1,2,1,1,1
2,,,,,27.3,1.2454212454212457,4,,,8037,487,,,,,,,,,,,3,4,2,4,4,3,3,4
3,,,,,44.25,1.1977401129943503,2193,,,2662480,262085,,,,,,,,,,,1,2,1,1,3,1,1,1
4,,,,,6.038,0.9937065253395164,27,,,258488,2615,,,,,,,,,,,4,3,3,4,4,2,3,4
5,,,,,26.63,0.976342470897484,6,,,14430,748,,,,,,,,,,,3,2,2,4,4,2,3,4
6,,,,,23.918,1.3379045070658082,4,,,14240,336,,,,,,,,,,,3,2,1,1,3,1,1,2
7,,,,,56.51899999999999,1.6985438525097758,460,,,710670,78947,,,,,,,,,,,2,3,3,4,4,2,3,4
8,,,,,39.858,1.304631441617743,0,,,2457,30,,,,,,,,,,,2,1,1,2,3,1,1,2
9,,,,,50.81999999999999,1.4561196379378198,414,,,1508154,59023,,,,,,,,,,,3,2,2,3,4,2,3,3
10,,,,,84.079,1.1061025939889866,167,,,254255,6774,,,,,,,,,,,3,2,2,3,4,2,3,4
11,,,,,115.838,1.3121773511283,29829,,,6294779,409554,,,,,,,,,,,2,5,3,5,2,5,3,5
12,,,,,106.321,1.2791452300110044,8722,,,19675454,968951,,,,,,,,,,,3,2,4,4,4,2,3,3
13,,,,,96.03900000000002,1.436916252772311,2048,,,3523642,187525,,,,,,,,,,,3,4,4,5,2,3,4,5
14,,,,,243.28,1.1797106215060835,30,,,317540,1783,,,,,,,,,,,4,3,3,4,4,2,3,4
15,,,,,57.92,1.3466850828729282,410,,,115219,5575,,,,,,,,,,,3,5,4,5,2,5,4,5
16,,,,,24.32,1.4391447368421053,2174,,,29137574,771090,,,,,,,,,,,4,2,3,3,4,2,3,3
