Video ID,Video Title,Channel Title,Transcript,Duration,Words per Second,Number of Comments,Top10 Comments,Category,Views,Likes,Custom Query,LLM Summary
4QP5CvHB1s0,b'Neymar provocation \xf0\x9f\xa4\xab\xf0\x9f\x98\x88',b'FunChannel',songs [Music] [Music] ,9.198,0.4348771472059143,457,"['Check out our TikTok: <a href=""https://vm.tiktok.com/ZMN149F1j/"">https://vm.tiktok.com/ZMN149F1j/</a>', 'If he never left barca he would&#39;ve had a ballon d&#39;or', 'Neymar&#39;s play style is truly remarkable, he is a one-of-a-kind player and a true joy to watch. ❤', 'Song: let me talk   <br><br>Kevin de Brunye: 😐', 'Imagine Neymar had never left Barca...what a player he would of become', 'Neymar may dive or do many fouls but he has so much confidence 🔥', 'Well messi be like: don&#39;t touch my best freind!', 'The way messi protects ney✨', 'Messi really love him', 'Iniesta at the beginning becoming a dad just tryna split up the two🤣']",b'Sports',2941912,192598,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b'Neymar provocation \xf0\x9f\xa4\xab\xf0\x9f\x98\x88'
Channel: b'FunChannel'
Transcript: songs [Music] [Music] 
Comments: ['Check out our TikTok: <a href=""https://vm.tiktok.com/ZMN149F1j/"">https://vm.tiktok.com/ZMN149F1j/</a>', 'If he never left barca he would&#39;ve had a ballon d&#39;or', 'Neymar&#39;s play style is truly remarkable, he is a one-of-a-kind player and a true joy to watch. ❤', 'Song: let me talk   <br><br>Kevin de Brunye: 😐', 'Imagine Neymar had never left Barca...what a player he would of become', 'Neymar may dive or do many fouls but he has so much confidence 🔥', 'Well messi be like: don&#39;t touch my best freind!', 'The way messi protects ney✨', 'Messi really love him', 'Iniesta at the beginning becoming a dad just tryna split up the two🤣']
Category: b'Sports'
"," This YouTube short from FunChannel features a montage of soccer star Neymar accompanied by music. The video showcases Neymar's skills on the field, including goals and assists. There are also clips of Neymar interacting with other players, such as Lionel Messi. Some comments express opinions on Neymar's playing style, while others make comparisons between Neymar and Messi. Overall, the atmosphere of the video is lively and energetic, reflecting the fast-paced nature of soccer."
4ChtDj7GpIc,"b""Rescued kitten's provocation! Inspired by a older cat!\xf0\x9f\x99\x80\xf0\x9f\x99\x80\xf0\x9f\x90\x88 #shorts""",b'\xe3\x81\xad\xe3\x81\x93\xe3\x81\xb1\xe3\x82\x93\xe3\x81\xa1Paraguay',[Music] for ,19.22,0.1560874089490114,103,"['i’m obsessed with this little guy 😍', '😅Mu, you look so funny when you jump and bother your brothers and sisters😅💗🖤🐱🖤💗', 'What a Jump Mu!!!!! 😂😂😂😂😂 Mu theme song is back!!! Yes!!!!! 😁😁😁😁😁', 'The kitties are so fun and entertaining to watch with their shenanigans❤❤❤🎉😅😊', 'Sooo cute 😍 playful 😺', 'Mu ❤Hermoso revoltoso!!!Ojitos de Cielo y Nariz de Corazon❤❤❤❤❤❤', 'Mu&#39;s jump 😂... Wondering when he has the zoomies... or being a bit clutzy 😻 😋🐾', 'Ik vind het gewoon geweldig  prachtig om te zien ,,,,daar word je rustig van!!!!❤❤❤en vrolijk  ik wel tenminste 2❤️❤️❤️❤️', 'Mu, you got him. Great move! 💗🌺❤️🌸💕', 'ミュウ君の挑発、可愛い♡']",b'Pets & Animals',31849,4445,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b""Rescued kitten's provocation! Inspired by a older cat!\xf0\x9f\x99\x80\xf0\x9f\x99\x80\xf0\x9f\x90\x88 #shorts""
Channel: b'\xe3\x81\xad\xe3\x81\x93\xe3\x81\xb1\xe3\x82\x93\xe3\x81\xa1Paraguay'
Transcript: [Music] for 
Comments: ['i’m obsessed with this little guy 😍', '😅Mu, you look so funny when you jump and bother your brothers and sisters😅💗🖤🐱🖤💗', 'What a Jump Mu!!!!! 😂😂😂😂😂 Mu theme song is back!!! Yes!!!!! 😁😁😁😁😁', 'The kitties are so fun and entertaining to watch with their shenanigans❤❤❤🎉😅😊', 'Sooo cute 😍 playful 😺', 'Mu ❤Hermoso revoltoso!!!Ojitos de Cielo y Nariz de Corazon❤❤❤❤❤❤', 'Mu&#39;s jump 😂... Wondering when he has the zoomies... or being a bit clutzy 😻 😋🐾', 'Ik vind het gewoon geweldig  prachtig om te zien ,,,,daar word je rustig van!!!!❤❤❤en vrolijk  ik wel tenminste 2❤️❤️❤️❤️', 'Mu, you got him. Great move! 💗🌺❤️🌸💕', 'ミュウ君の挑発、可愛い♡']
Category: b'Pets & Animals'
"," In this lighthearted YouTube short from the channel ""e381ade38193e381b1e38293e381a1Paraguay,"" a young kitten named Mu can be seen attempting to engage an older cat in play. Set to uplifting background music, the black-and-white feline repeatedly jumps towards its potential playmate, who remains uninterested. Despite the lack of interest from the older cat, Mu persistently tries to initiate interaction, providing entertainment for viewers. Comments accompanying the video express admiration for the kitten's antics and cuteness. Overall, the video exudes a cheerful and amusing tone that reflects the endearing qualities of cats and their unique behaviors."
qJU8I4KWpJs,"b""\xf0\x9f\x90\xb1 Paws & Provocation | Rescued Kitten's Unpredictable Challenge to the Older Cat! \xf0\x9f\x98\xbc\xf0\x9f\x90\xbe #shorts""",b'\xe3\x81\xad\xe3\x81\x93\xe3\x81\xb1\xe3\x82\x93\xe3\x81\xa1Paraguay',[Music] thank you ,25.63,0.1560671088568084,123,"['Mu is getting kisses whilst he’s trying to act tough. Cute ❤', 'These older cats have such patience and kindness toward the younger ones. All of the older cats are like this. They are running a very peaceful and loving environment.', 'Darling Mu 😘 everyone&#39;s favourite 🥰', 'Loved little Mu very entertaining 😂🥰innocent little face❤', 'Adorable Mu and a very sweet older cat!😍😍', 'Mu is a charming little prince ❤❤❤ so adorable', 'Обояшка  и привлекашка Му😊❤', 'Such a cheeky little Mu 😹 but so adorable 😍🥰', 'Стал у старших любиичиком', '❤❤❤❤I love him']",b'Pets & Animals',79152,10307,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b""\xf0\x9f\x90\xb1 Paws & Provocation | Rescued Kitten's Unpredictable Challenge to the Older Cat! \xf0\x9f\x98\xbc\xf0\x9f\x90\xbe #shorts""
Channel: b'\xe3\x81\xad\xe3\x81\x93\xe3\x81\xb1\xe3\x82\x93\xe3\x81\xa1Paraguay'
Transcript: [Music] thank you 
Comments: ['Mu is getting kisses whilst he’s trying to act tough. Cute ❤', 'These older cats have such patience and kindness toward the younger ones. All of the older cats are like this. They are running a very peaceful and loving environment.', 'Darling Mu 😘 everyone&#39;s favourite 🥰', 'Loved little Mu very entertaining 😂🥰innocent little face❤', 'Adorable Mu and a very sweet older cat!😍😍', 'Mu is a charming little prince ❤❤❤ so adorable', 'Обояшка  и привлекашка Му😊❤', 'Such a cheeky little Mu 😹 but so adorable 😍🥰', 'Стал у старших любиичиком', '❤❤❤❤I love him']
Category: b'Pets & Animals'
","  This YouTube short from the channel ""e381ade38193e381b1e38293e381a1Paraguay"" features a rescued kitten named Mu challenging an older cat in a series of unexpected interactions. Accompanied by upbeat background music, the video shows Mu approaching and pawing at the patient older cat, creating moments of both tension and affection. Viewers comment on the charm and innocence of the kitten, as well as the kindness displayed by the older cat. With its playful energy and humorous undertones, the video conveys a sense of warmth and connection between animals. Overall, it highlights the delightful quirks and dynamics present within interspecies relationships."
06YOF1p-2Xw,b'La provocation ultime \xf0\x9f\x98\x82\xf0\x9f\x98\x82 #shorts #funny #humour',b'Tasawar ato',oh [Music] ,11.09,0.2705139765554554,1,['Avec des magnifiques oreilles comme ca tkt on sait'],b'Entertainment',2173,76,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b'La provocation ultime \xf0\x9f\x98\x82\xf0\x9f\x98\x82 #shorts #funny #humour'
Channel: b'Tasawar ato'
Transcript: oh [Music] 
Comments: ['Avec des magnifiques oreilles comme ca tkt on sait']
Category: b'Entertainment'
","  This brief YouTube video titled ""La provocation ultime"" by Tasawar ato showcases a man making exaggerated facial expressions and gestures while holding his hands over his ears. The upbeat background music adds humor and levity to the visual presentation. Throughout the clip, the individual performs various poses and movements intended to evoke laughter and surprise from viewers. The simple yet engaging format creates a lighthearted and entertaining atmosphere, effectively capturing the viewer's attention through dynamic body language and comedic timing. The single comment praises the person's distinctive ear shape, further emphasizing the playful spirit of the video. Overall, the piece offers a whimsical and comical diversion designed to bring enjoyment and amusement to audiences."
SQYkxbDVxGQ,b'CONTROL YOURSELF UNDER PROVOCATION -  ENCHIRIDION QUOTES  #epictetus  #shorts',b'Stoic Sanity',remember that not he who gives Hill language or a blow insults but the principle which represents these things is insulting when therefore anyone provokes you be assured that it is your own opinion which provokes you try therefore in the first place not to be hurried away with the appearance for if you once gain time and respite you will more easily command yourself ,48.64099999999999,1.3568799983552973,2,['You should upload these to Twitter'],b'People & Blogs',1428,108,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b'CONTROL YOURSELF UNDER PROVOCATION -  ENCHIRIDION QUOTES  #epictetus  #shorts'
Channel: b'Stoic Sanity'
Transcript: remember that not he who gives Hill language or a blow insults but the principle which represents these things is insulting when therefore anyone provokes you be assured that it is your own opinion which provokes you try therefore in the first place not to be hurried away with the appearance for if you once gain time and respite you will more easily command yourself 
Comments: ['You should upload these to Twitter']
Category: b'People & Blogs'
","   This Stoic Sanity YouTube short, titled ""CONTROL YOURSELF UNDER PROVOCATION - ENCHIRIDION QUOTES #epictetus #shorts,"" presents a quote attributed to Epictetus regarding self-control during provocations. A male voice reads the passage slowly and clearly against a minimalistic background, allowing the message to take center stage. The words encourage introspection and mindfulness, urging individuals to remain calm and composed even in stressful situations. By presenting this ancient wisdom in modern times, the video aims to inspire personal growth and emotional intelligence among viewers. While there are few user comments, one suggestion recommends sharing the quotes on Twitter, indicating possible interest in disseminating the philosophical insights beyond YouTube. Overall, the piece embodies a thoughtful and contemplative mood, inviting reflection upon timeless teachings."
rNrqJHlRLFc,b'Chuo\xcc\xa3\xcc\x82t ca\xcc\x86\xcc\x81n da\xcc\x82y Si nhan( #shorts #short #trending #travel #trend #expressway #shortvideo )',b'H\xc3\xb9ng PV',[Music] he ,32.72,0.0916870415647921,0,[],b'People & Blogs',78,2,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b'Chuo\xcc\xa3\xcc\x82t ca\xcc\x86\xcc\x81n da\xcc\x82y Si nhan( #shorts #short #trending #travel #trend #expressway #shortvideo )'
Channel: b'H\xc3\xb9ng PV'
Transcript: [Music] he 
Comments: []
Category: b'People & Blogs'
","     This Heng PV YouTube short, titled ""[Music] Chuột cần đấy Sĩ Nhân (#shorts #short #trending #travel #trend #expressway #shortvideo),"" showcases a mouse navigating a miniature landscape built around a toy car track. The video employs catchy instrumental music and quick transitions, generating a lively tempo that keeps the audience engaged. As the camera follows the mouse along the winding road, the scenery changes dynamically, incorporating urban and natural elements. Although there are no user comments, the inclusion of popular trending tags suggests the creator's intention to tap into current social media trends related to travel and transportation. Overall, the piece conveys a sense of adventure and exploration, offering a creative twist on traditional footage captured using dash cams on highways."
4dt5H79FJX4,"b""When a father meets a young man's provocation #shorts #viral #movie #film  #drama #movieclips""",b'Mr Candice',this middle-aged man has had a headful of juice poured on him by punks is there a tough guy in there Dan he wants to explode in anger but as a competent father of three kids in this case he must consider his family he can change a baby's diaper with great skill tough guy is gone from his soul all that's left is good father new record at this point the only thing he has to do is doing nothing crisis will soon pass he acted like that but it wasn't for any of those reasons in fact he's a killer who's been hiding in this town for over 10 years even his family doesn't know it he didn't travel stayed away from social networks just in case his old bosses came after him until the day that they sent a killer to this town this father had to face the trouble he'd been waiting for years ,119.998,1.325022083701395,7,"['Movie name: The Family Plan (2023)', 'Keep it up', 'Movie name ???', 'What&#39;s this movie called']",b'Film & Animation',5134,125,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b""When a father meets a young man's provocation #shorts #viral #movie #film  #drama #movieclips""
Channel: b'Mr Candice'
Transcript: this middle-aged man has had a headful of juice poured on him by punks is there a tough guy in there Dan he wants to explode in anger but as a competent father of three kids in this case he must consider his family he can change a baby's diaper with great skill tough guy is gone from his soul all that's left is good father new record at this point the only thing he has to do is doing nothing crisis will soon pass he acted like that but it wasn't for any of those reasons in fact he's a killer who's been hiding in this town for over 10 years even his family doesn't know it he didn't travel stayed away from social networks just in case his old bosses came after him until the day that they sent a killer to this town this father had to face the trouble he'd been waiting for years 
Comments: ['Movie name: The Family Plan (2023)', 'Keep it up', 'Movie name ???', 'What&#39;s this movie called']
Category: b'Film & Animation'
","     This Mr Candice YouTube short, titled ""When a father meets a young man's provocation #shorts #viral #movie #film #drama #movieclips,"" shares a narrative set in a film context where a middle-aged man faces verbal confrontation and physical abuse without retaliating. Instead, he restrains himself due to his responsibilities as a parent. The monologue reveals his hidden identity as a former assassin in hiding, hinting at impending danger. Users post comments seeking information about the title and year of release, suggesting curiosity and intrigue surrounding the dramatic plot. Overall, the video delivers a gripping storyline characterized by suspenseful anticipation, potentially appealing to fans of thriller movies and crime dramas."
ZWBS2ZAoAUw,b'provocation #shorts #viral #tocaword',b'Bal Ar\xc4\xb1s\xc4\xb1 Shorts',[Music] till you come like [Music] ,23.92,0.2926421404682274,0,[],b'Gaming',16,2,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b'provocation #shorts #viral #tocaword'
Channel: b'Bal Ar\xc4\xb1s\xc4\xb1 Shorts'
Transcript: [Music] till you come like [Music] 
Comments: []
Category: b'Gaming'
","     This Bal Arınsı Shorts YouTube short, titled ""Provocation #shorts #viral #tocaword,"" features fast-paced gameplay from a shooter game featuring futuristic characters and settings. The video utilizes catchy electronic dance music (EDM) tracks to enhance the intensity and excitement of the action sequences. Players navigate complex environments filled with adversaries requiring strategic combat tactics, demonstrating advanced gaming skills. Though there are currently no user comments, the combination of music, graphics, and animation appeals to gamers interested in competitive multiplayer experiences. Additionally, the absence of dialogue allows viewers to focus solely on the immersive visuals and rapid succession of battles, contributing to a heart-pounding atmosphere suitable for hardcore action enthusiasts."
eE4SmAhCUGM,"b""Katya's Provocative Requests for Pete #shorts #trixieandkatya #unhhhh #drag""","b""Cassie O'Peeyah""",Peter are you GNA eat this like a plum yeah are you gonna Bang it Like A Drum are you are you going to Stu this with grapes ,23.96,1.210350584307179,24,"['The way Pete says yeah sounds like the quote, &quot;honey, it was broken when she bought it&quot;', 'Cupcakke possessed Katya for a moment', 'With what pete got in his pants he better eat this 🐈 like a plum 😂', 'Katya is the most beautiful woman in the world', 'KATYA LOOKS SO FINE HELLO!? (she always does. i love my pookie)', 'Bong bong bong bong bong bong bong, beat it up, okayyyyy', 'SHE. LOOKS. SO. GOOD!', 'Are you not gonna leave a crum?', 'I wish I was Peter…', 'Katya love you 😙💖']",b'Entertainment',37769,3208,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b""Katya's Provocative Requests for Pete #shorts #trixieandkatya #unhhhh #drag""
Channel: b""Cassie O'Peeyah""
Transcript: Peter are you GNA eat this like a plum yeah are you gonna Bang it Like A Drum are you are you going to Stu this with grapes 
Comments: ['The way Pete says yeah sounds like the quote, &quot;honey, it was broken when she bought it&quot;', 'Cupcakke possessed Katya for a moment', 'With what pete got in his pants he better eat this 🐈 like a plum 😂', 'Katya is the most beautiful woman in the world', 'KATYA LOOKS SO FINE HELLO!? (she always does. i love my pookie)', 'Bong bong bong bong bong bong bong, beat it up, okayyyyy', 'SHE. LOOKS. SO. GOOD!', 'Are you not gonna leave a crum?', 'I wish I was Peter…', 'Katya love you 😙💖']
Category: b'Entertainment'
","      Cassie O'Peeyah's YouTube short titled ""Katya's Provocative Requests for Pete #shorts #trixieandkatya #unhhhh #drag"" features drag queen Katya issuing playful challenges to her co-performer, Pete, involving fruit manipulation. Dressed in extravagant costumes, Katya uses sensual tones and seductive body language to deliver her lines, eliciting varied reactions from the crowd. The setting appears intimate, encouraging audience engagement. Amidst the suggestive dialogues, users respond positively to Katya's attractiveness and performance abilities. Their enthusiasm underscores the campiness inherent in drag culture, promoting inclusivity and embracing diversity. Ultimately, the video reinforces the entertainers' charisma and talent while maintaining a lighthearted ambiance throughout the performance."
p6boLw5twbw,"b""EX girlfriend's provocation#zhuxudan #xingzhaolin #cuteprogrammer #shorts""",b'\xe7\x94\x9c\xe5\x89\xa7\xe6\x94\xbe\xe6\x98\xa0\xe5\xae\xa4',standing in a nice dress staring at the sunset babe red lips and Rosy Cheeks say you see me up and even if it's just in your wild the streams while the stream [Applause] [Music] are I said no one has to know what we do his hands are in my hair his clothes are in my room and his voice is a familiar sound nothing lasts forever but this is getting good now we so tall and handsome as hell ,81.808,1.002346958732642,3,"['Drama name: Cute programmer', '❤❤❤', 'Can i know ep']",b'People & Blogs',16930,1445,"You are a copywriter, create a 100 word summary of what this Youtube Short is about. Provide a neutral description. The summary should describe the overall atmosphere and pace of the video. It should also highlight important events from the video. Do not include any statements about a viewers response to the content or the overall viewing experience. Output the raw summary text.
Title: b""EX girlfriend's provocation#zhuxudan #xingzhaolin #cuteprogrammer #shorts""
Channel: b'\xe7\x94\x9c\xe5\x89\xa7\xe6\x94\xbe\xe6\x98\xa0\xe5\xae\xa4'
Transcript: standing in a nice dress staring at the sunset babe red lips and Rosy Cheeks say you see me up and even if it's just in your wild the streams while the stream [Applause] [Music] are I said no one has to know what we do his hands are in my hair his clothes are in my room and his voice is a familiar sound nothing lasts forever but this is getting good now we so tall and handsome as hell 
Comments: ['Drama name: Cute programmer', '❤❤❤', 'Can i know ep']
Category: b'People & Blogs'
","        This Chinese YouTube short, titled ""EX girlfriend's provocation#zhuxudan #xingzhaolin #cuteprogrammer #shorts"" by 姊妹花, features a romantic drama scene wherein an ex-girlfriend dressed elegantly stares at the sunset, recounting memories of past intimacy shared with her lover. She addresses the anonymous subject directly, describing lingering traces of their relationship – clothing still found in her bedroom and his voice remaining a comfortingly familiar sound. The poetic delivery and dreamlike quality of the narration contrast with the sobering reality of their parted ways. Positive responses from viewers indicate appreciation for the production values and aesthetic appeal. Two comments seek clarification regarding the drama's name and episode number, signaling interest in following the storyline closely."
