Query,Video_IDs
funny,"['P_1-Cpo1P0A', 'FRdgTgKxnx4', '7dUY12c4Xwo', 'aEBxl6x5Ym8', '6TYFH8UXGm4', 'n_6YPvWcFLA', 'bZdpihF44R0', 'e_9NhHz2V3w', '7bnKr6XfcWc', 'qgn2tyj3KFQ', 'dHu8n-F6PR4', 'vzMyJ_lmMfg', 'AYE4XSgK4SQ', '923kQBy2SFM', 'QL6zTVKOe2E', 'A_Q2qpbHrqo', '7BGQO1VSgSA', 'DNFtcxAYgUU', 'TXm2WTVYFTo', '4W9IlN_X2is', 'CNv74RWXx9A', 'SPRL61TCAP8', 'FbXEbAtsufE', 'qXxC0R9CQkI', '4GEL3w_eeuA', 'PaAeMupVTzY', 'BTDzeT4yJNU', 'YAEBsmie_SA', 'I48TMLPXIbQ', '6UPxRUeWCos', 'i2oNOdUdGjw', 'i14hd1vFywE', 'tEdVIAk9_3w', 'sOZrJUkCLYU', '2eexrs8HClA', 'rswOzxtkFWI', '5j2mou3lV-4', 'GbcVJEuOjqc', 'kMbdT-v6yYE', '16sKnFEPfzY', '5HfIJfytpjQ', 'mON3crpNoqc', 'MXZZatCyQ1A', 'ZDHPbOvcEHk', 'A-I6da1of4Y', '-FaLTylftC0', 'Z9s0bKm5AM4', 'bhghAm_biGU', 'EUWkw8WmCys', 'SnEuUSfrULg', 'EUWkw8WmCys', 'oju-3lEhIyY', 'ZDHPbOvcEHk', 'VuP2TBG3cKc', '9m-aFWPZmdw', '_zgbhnUgEO8', 'tPlalpAs8Xo', 'Z9s0bKm5AM4', '_mlJ0HyhDpc', 'WXA8Sgj693Y', 'wTbYtmrTC14', 'JcDR8pyuVB0', 'bhghAm_biGU', '6BMMca0a2wk', 'IQt7MXKBNug', '6H5AImEWu0s', 'iRDt_Bbubqo', 'iKjPOeiyhnY', '1bo00mKfkbI', 'NMTzDAiPM_M', 'UaBRYa0RdhA', 'dhgKOYbxM5k', '76N_jXnpvBQ', '0OcIoLaoFBE', 'kMAoBGDzAG8', '1i_jebji4uo', 'iI4KSejuUcQ', 'Ek1IxdOo5Dk', 'OejVgL8llZ8', 'pXJCgD5rtk4', 'l7rvbp_t97s', 'A3n61q_zSwE', '8SoRVbEh7DM', 'vMtRYUJUo78', 'QYdFwQkmGS4', '-s3KmSwzsps', 'vzafwSN_l7I', 'b8HhJxtUPkk', '1CKQRLTamnI', 'N4z5YRdjJQ4', 'rZaV19MEfbM', 'BsCP-2WiSpI', 'Wn1dnpoTWRI', 'Ff7c0zlQFhY', 'N_gcxXeGumE', 'B5R0JUY6E14', 'BqBypcdJEE4', 'vZwOAfu5_90', '2oAeEoKRKGQ', 'wRaHibSLLMI']"
car,"['5PH0jXruu5E', 'HVhF_ty_ZT0', '6tZn6Jgha3w', 'mBzbMo20pyE', 'ogle3tHCRQQ', '5ljihUEXcdM', 'jrboF4aeMxM', 'sughKozg2Jg', '04iG3iumbIo', '9G9s4NA4Vxg', 'k2DDNBcpH6E', 'rs8S5xo67rw', 'sttoKK98Fh4', 'N4o-vp1QnMk', '3X4K6rv7nCc', 'vVl0lhCXQa0', 'SaHlrSqiwR4', 'YmieW33YbHI', 'SMU-q7za37w', 'M_M9k8NPJ3k', 'A5PVZUqdzeE', '9bVVPoPGBvk', 'Oq_sPPhE830', 'opLzc7xnCqE', 'VB3Bdf6cffE', 'w13Ss4uezFg', 'Jo5cjf4Ge7k', 'YaODDv9ThxU', 'JXvcl9vkr4w', 'hdcB07HMFso', '0dK1VuiqR0M', 'HmXYlaP52P8', '84ScAuFlO1Y', 'EkFRQTxqhN0', 'E1n80uexmPY', 'SMgzDC4_Bpw', 'BH08wSM3M2A', 'Ha0Ye2knyZk', 'LhHQyGYLmUI', '9hJGOKBhNJ8', '6GXprf-in6Y', 'yhzAYKdoKDQ', 'Lh3KcpMiyy0', '9kB4I8pgssk', 'OaLFMaJygbY', 'Xh7kJJfweG4', '4GeNYiEQBSg', 'u7V8z74roSQ', '3H4HZNdzOmc', 'zpvCyMpL7gE', 'qknZRTnpJaY', '3RIHYJCpzZ0', 'kzUYnUuDbzI', 'fGqVBj5tgC0', 'xXAZD7oRNNg', 'JXvcl9vkr4w', '68vajjuz150', 'MKWDXbHooW4', 'EaUZUqoEAqw', 'uf3_qN_gJJY', 'i-chvgnHZF0', 'Jss1-7fZiQg', 'rJ9v8mmMew8', 'SW6b16rE4Is', 'O5Q3Ar6xqEI', 'XBYaxO0lAHU', '0dK1VuiqR0M', '907joP0LhaM', 'GI-5FvqOZ-s', '-NW7fB6A3t8', 'PCSOAJ4M22A', 'lNymXF8Wc3M', 'UOBKfndf6m0', 'qIHGHYCCrxI', 'sIysiPrtzXQ', 'J6ovdSbSrkA', 'V7aDPH5-4qo', 'imyjPpXORiw', 'Vz7gPnbMfnw', 'h2jHyYrbHcQ', 'SMgzDC4_Bpw', 'BH08wSM3M2A', '0EllTeIzXDo', 't527q3hQ3E4', 'LhHQyGYLmUI', 'lz6bgsNFLok', 'ZJprXuvYkhs', 'zyCRjow2sUI', 'UggpmUSjAd8', 'Zto_8A431G8', 'TKFXhGdpp1U', 'QDEn4vSi6ng', 'Gj_VEeK3nNI', '2ZdObut6dc0', 'RLbAfLAjsZc', '7UYMgwYt5iE', 'KRU8L7XHSb8', '9IQRJwj8Hxg', 'YmCsvY-UITI', '3ckGVvHUgdU']"
Quick Recipe,"['9-8LUW5tqBg', 'WobUAaSEiB0', 'hRZHgR8cU3k', 'd2jlcFvI04A', '2QTfnkkJzkk', '3JGOK5q5IMA', 'nFaCVKiwYrA', 'whsPtX2O6cQ', '1E9BVFBGPDo', 'XvSQvWD8MAw', '-TRl0qLVU6A', 'WgiWxLR4Ndw', 'qofuW8BKSRw', '_ljQXslix40', 'TxRIPGpjC6U', 'FRfLNJZEcQs', 'WHJyOP4y-Ts', '274bGp_zZUM', 'OHGIHu0LAWY', 'PTHqZV1u71Y', '17ylKtKv9Xo', 'bJGLxezJr5A', 'rQxZ95xanY4', 'VyGywCPnGJE', 'JCpjqqGCRbo', 'fWp5z_YM07Q', 'oo5o75VBg4A', 'eCDQV-kDLNc', 'yW_Y_Ey58NE', '2of75rESuZU', 'e38XUb-CB7Q', 'E-bIc7LpbT8', '5CQQ3FFwJmg', 'F8sgpSZGyBE', 'Ek7VHi-CbxE', 'KAOAIujUfZM', 'OSZIwUNTBMM', 'VyEOycMKsbY', 'UXuHUE74-e0', 'QGUioY--L3g', 'Vnqo_gJZhPs', 'w9CE2hs5QoU', '_ldDqHI-fhw', 'D_PZdH0ixTw', 'wVRe7LrOAzY', 'UW_SmO70UPU', '7g_MZApDprk', '0VPAx4RSGyQ', 'vtkgNOhkvLw', 'E0nbz3nFUcc']"
Fitness Tips,"['_YjNSC7Lq00', '5rdn9C9cnlE', 'Kj00H4-5b2E', 'JV1ZY4ALHqo', 'lZgUQRloWdQ', 'beu0r4QWfik', '4VmTTa0ehPM', '4OHEuKZR2pk', 'yKjWZzIHnpg', 'w3nhaRBcGdM', '7im-ahn1Mvo', 'u6T8iew4vl4', 'pB1r0VMKW1U', 'ALVUctCQ8yM', '5rVxtnvDXB4', 'sVvGBcsvvVQ', 'Y-zsBXy1Uek', 'vsJnKnaFT9w', 'ypR5COVriQs', 'R1VPjpNvSoU', '-Jb2v4B40bo', 'jXh1Ibw59J4', '502B7hFhg7w', 'gBJE_iUqXRQ', 'AkrKwM3srSg', 'zlYA1SENYG4', 'PFFqoYt9wKo', 'XLsLNqkBmoc', 'gL_yFn_TpfQ', '6JF6U_GTdn0', 'vFKFOMJ3slE', 'gmZ-W76CCeE', 'YGIVGt_Vd1c', '87DFdq2Qkn0', 'FjVfUVcW2z4', 'vfKwjT5-86k', 'Xk5MWS1aFaA', 'f9aFLgUlRl8', 'YYgoKoB3yjE', 'v0_4HdhnIho', 'p4-SgbVERpw', '58p-pXJhK1M', '6OK-3tDICmY', 'DreKFFYq4G0', 'PDuY3ZG2PaI', 'ggfo1EJWDvk', 'TEf0rOU3pEo', 'Oyge1fdDamk', '_IQxqZRJAVA', '4AqHj7HTChY']"
DIY Crafts,"['sBYiuaBCSkA', '9GDsH1EdQqw', 'dvHMHCRGudM', 'oOzxMQOoCIY', '3aFUTPWo2zQ', 'Ulfek8ukXPo', 'r8xKAtiXJtQ', 'HjYQd_CV5XA', 'Bm_he9H0qu4', 'UU6IVYuKs1E', 'vGHdoqswWDY', 'PfbDNJAfrow', 'Ipn9iOtwHJs', 'QuscaIrL-uk', '1ywJ0GUaxCs', '9q4mJAS76hk', 'I8lO1tGuhCM', 'T5O-_8jnm7g', 'UrgmhDDlJeE', 'USnBJs1QoxU', 'BMJvkbgOn-w', 'k-pv7xl1Pcs', 't_r7ls7ZSiY', '9gkzpmccD-4', 'VExebcFJj9c', 'SlyJYon_5rU', '3wbqdVcfSh4', 'qao9DAVLsaw', 'xyiWzcBW5OE', 'W1Ul1LKv2Lo', 'BVQMllmwhJw', 'xp8ffc5zTFw', 'FltMlqYmZJw', 'R2ZGMo7ZI-I', 'RWC7apldwEQ', 'c-2_wbXhz8o', 'VZtiDax5R68', 'FZf2A272GgI', 'bHp3yfftYbU', 'hM6gMvVuB18', 'FJB29TvQg9g', 'EaYtAYjICn0', 'ftH6HRWqdkQ', 'Yd4pFia5Arg', 'IAaR8MxeGFw', 'SteoN1gGdsg', 'aYGm5fUknt8', 'oRy3M4cZ28Q', '5ANBDjMu_9k', 'yWpcSwqR7xo']"
Travel Guide,"['EIRSomyJHyo', 'i91Sg2YbYY8', 'g8YVCUB5klI', 'e9O4yKtc0ns', '7vqfjBZ9864', 'cGAO9yNmAME', 'ezAH-gQAPvc', 'wlKic6yTUUs', 'XXmCVij78s4', 'YE7SXzwvkn4', '1VUB8Sm0kso', 'XzyFiah2GoE', 'YUTs3IEM9HU', '97r67cnVpms', 'FE9tSxBfJy0', '7U26s_hQaqk', 'fU8SdTJo_OU', 'tWKXAfIiL4s', 'rnyYdtj7Fbw', 'Mro_jiLg5Uk', 'HwXc8Y4ihsA', 'tRQ7ZXRBRnY', 'cuz7KwCp_xk', 'd1lRXXTy66U', 'OuMkn2dc8dY', '3tbtq7JChuY', '5XzoeHVwu4Q', 'iOB6gXgtdwo', 'QOtN3i6pNl4', 'Jp0TOPLIU34', 'ylAHlrArKwM', 'XMcoaYFC7p4', 'thzAFPh6N1E', 'EgDeWYmfrmM', 'qzktVKrXH70', 'GhdaXYTV_Rs', 'KuJwC9gTYhw', 'Cgor6rciHoA', 'otIV0kjpmE8', 'qApolA5IUB0', 'Jmg-NIHHDCA', '7Uk68iYVzrk', 'kXsuRH30Hyo', 'Q_4kJlTcIgc', 'WFFkgBLpKRE', 't_9_1rFmkTs', 'HyL1rO8BTU8', 'zYrEArOq4ow', 'l5xwbiMxGMY', 'gZKtu22SiPo']"
Fashion Haul,"['PC7OGIiI5u4', 'lMDrA8v8m3s', '5NO3_uOeb1I', 'L1zBjSiRu_Q', 'LbNGOv6QZ_o', 'syigmxBB8o0', 'J1AKjCcs6Vg', 'ZiaLO1RF7HQ', '-sMPsIRY6_M', '1ODbieSeRLw', '97CwyR305cM', 'stWpFD1T8WU', 'v_nIbh7Kdv0', '0u5aqF-X1Ug', '3DeSNiD_iLc', 'y9BFpUgGT3c', 'cSg67K-62DY', '4tizyROAMyA', 'UoKeXzPG4zc', 'LA4RHg3-Nn8', 'cB0AxG2EGh8', 'RARHLAiXabU', 'e8vK5gqdq7w', 'VDzn4IQoVGs', 'JUKpxmLPV68', 'b0shEq35w3o', 'jkfdFT__QEA', 'FjMTPtEqABA', 'Ma-FzR5dJUA', 'EycfBEU7qdg', 'jPmcjAfCuto', '4ap-lwZkCO4', 'Hj6kDV-jXWk', '4euJ5wmtQYg', 'T_Ael73plb0', 'r_lQ9olKUwo', 'b1KgdGrT130', 'oUbBZsBdgk0', 'd1KEGNNp14A', 'EhmTvKETU5A', 'LkwOwAmvTUc', 'kOACFXCIhDQ', 'UIg6ccWcNlk', 'CRTTg1hPSTY', 'CG9reyg_64Q', 'ESFnnOWDABc', 'SkVGuFsrYO4', 'wlGKUpZdTB8', 'SDMgugBbDl8', 'A0RHJNzeIfY']"
Tech Review,"['8Xx51OpH2VE', '0xB3T4MPEr0', 'XXyPe2n-rnI', 'as_-aEi1fzU', 'qVVkMi3E5Aw', 'kFc6IGlKotc', '49n95ppMpBw', 'VbVtNxZPGWc', 'h3b5FvJnsGs', 'ekktZDdfOiY', 'shfSNNWqz04', 'wJK8vR-b4bE', 'GuWMpSAXDwk', 'y5c-mx6Qe5M', '5KTItIwHSpc', 'pPAfBjsIdiI', 'Nh0Bn33E6OA', 'dhhZlxUdCeg', 'E53NDYPkbQM', '3rCP1DrwWF0', '59KOzgj9srQ', '6IJZrHkAB1A', 'gCUJ7LeIFq8', 'pB_W7mlOLmI', 'Xhj2AmtRDfI', 'omJBtEAGQpc', 'nL_7uzBwROA', 'fgrJFmJbCpE', 'cv8B_Zhd1hk', 'Z9C6YRazkJo', 'aPUxbUDnQ9E', '3Fotbg8ccFY', 'G4_4Dgyskyw', 'Oq9WGK5xxUA', 'ftjCkj0P0FU', '3qlK4u417Tw', 'cQL6BlC0b-Q', 'B9Cu-ZmJ4kM', '-O1vM2ikrGE', '5wtlAXRpdps', 'SKnNouOBxLE', 'GQn5xAdnpno', 'dE44myQX0CM', 'QNv5RV0HWZk', 'jHYyXCmtOqw', '-yebc9hQF6c', 'ha37TBvhfx8', '1KPuGP57VzI', '3ZYkAVDIpBE', 'cwhgcp0ZCwQ']"
Comedy Skit,"['tx_DYeEC0-g', 'WjJcbHDY-bA', 'aEBxl6x5Ym8', 'mON3crpNoqc', 'qQ4kgJWkzDc', 'iKjPOeiyhnY', 'n_6YPvWcFLA', 'FRdgTgKxnx4', 'dhgKOYbxM5k', 'qXxC0R9CQkI', '3ps6wK2lTMc', '7dUY12c4Xwo', '4W9IlN_X2is', '_zgbhnUgEO8', 'YovYo5R1Bm4', 'e_9NhHz2V3w', 'QaH5nmy4nm4', 'wSSoT-VAT1s', 'BvXyRekbV1s', 'XJDW-LNEWL4', 'MfLNI80ICaI', 'b8HhJxtUPkk', 'qgn2tyj3KFQ', 'GbcVJEuOjqc', 'XQJcvMG0faw', 'jG0eJw3NJ_Q', 'HN3aMBS8PaA', 'SPRL61TCAP8', '_mlJ0HyhDpc', '2bcZbyp_p4A', 'GATAxhhhwsE', 'UaBRYa0RdhA', 'WXA8Sgj693Y', 'pZuQxYJu__8', '3gQDqIBS_LY', 's2eKmQDNCPs', 'UahyOIWKFgc', 'kwHNtvYjg18', 'BCz2tp8AI0c', 'i2oNOdUdGjw', '9uNq3fqSBtc', '24z4G-l1e4U', 'sKoswyakGV4', 'oaEtJsP5mRU', 'bhghAm_biGU', 'PaAeMupVTzY', 'syJdEnw6wj0', 'pIMfG7NUGD8', 'NU4kcJztSCI', 'oylJKS3OCfo']"
Dance Challenge,"['XeuFzS6ZWHY', 'VnI-isAION8', 'NnJPJsi-BKQ', 'H12SwqwR2NE', '087JwRrHPIw', 'acCyvJChM2Y', 'jFpOqacGQaA', 'i-V4XRx-gIk', 'c0fV3KpwUW8', 'KGTVC3Nffc0', 'YJsCdsj5aT0', 'LGMuRDWTris', 'UVa9jafkHkc', 'JQxQqdn9dEM', 'GOcFLUCzbbM', 'zrwCw5wJE3o', 'aEkJWv8C4Z0', 'vanOneiQXhI', 'wr_Ilb_1feg', '9lnVJeQvVrA', 'zExZX0QaOJo', 'SwIkNSYlHtI', 'pgB6C4oY-fU', 'Qq4V0_r0kmA', 'HLsvu67oaRA', 'cv8B_Zhd1hk', 'BSo2kg0BBqc', 'BkpV_tKh3mM', '6BhCTJXMdy8', 'rvrHzfhStIw', 'FiTSuRPmb_4', 'c8HvpQSKoqE', 'uhFGlDWah10', 'hhHzkqU8QDA', '8iJG9jo9ISw', 'hu65vgUZzEo', 'XdydX_0wdas', 'F_VH2jd-D3w', '-gchqk31rvM', 'GN7dbxuKd3k', 'FRCcfGJpmXA', 'Ghb6LNWnbF0', 'NXTORDziq4w', 'n-3jzVgFJac', 'y_t8ceniR5Q', 'o_wIOpoYTME', 'C9xZuyYoKSo', 's_s2ynua62g', 'y5dbtP2AtqQ', 'EYhEdDoxkgU']"
