Query,Video_IDs
Motivational Talk,"['YQVBPGj7gK4', 'fLeJJPxua3E', 'A9IqY0lmNkY', '-J8dBgLGXkk', '5f7E4DQG6kk', 'INukjkNsKpI', 'vR7_XIoIyvc', 'lLCuJYJueks', 'jWFAWvPGqt4', 'F4FOMh200QE', 's9oiClz1h6M', '-Qq5Xl4dlNU', 'hlng3bzmMmQ', 'qQMmMC_UZ_M', 'Cvj_Gg5YHr8', 'uwU5WggCpMM', '0Znvum3WikA', 'FKf5355cxtk', 'Ee1dHyxdxZA', 'KSEQNZmrDeY', 'ErlHv4Ji1yU', 'tfzpUN6rnUo', 'nyhRNwTfydU', '1gRIqFqjiBQ', 'mXONsrchXiM', '-XSqntSR7iA', 'uMocH_Z8_ks', 'FNSBcaoiFmw', 'PLt1QSTVL08', 'pSuZOOMz5Vs', 'dQqq6bRxqA0', 'cdVOKiLfRPo', 'wu-eLgX0I9Q', 'SX3nFcrx3KU', 'momUQcfDDIk', '36OSS_kv2zg', 'WgwQwsfhW0s', '9eZT5kyWzSc', 'FCGkvX5Ux2E', 'dlPuNPwVB6I', 'U8nETg_C1dc', 'RXGekk4pfbU', 'FPq2zhhbGUY', 'CLhqQ7KmN9o', 'xQnUr_5-1PM', 'c5QDJwP1Wuo', 'iDTTXn9rbco', 'RgiC0Lz4IcM', 'NteB_ew5r2E', 'dzFDsoAAseo']"
Cooking Challenge,"['QEpUSStNBOY', 'gaXQo5D_dgs', 'yCwAmBzG_V8', 'upM2T7IF4RY', 'Qcoc_EbbhwU', 'cnPjqgMtwcY', 'q_wC_ZV5dbM', 'ZPQ-pqM__jQ', 'fuyqD1PzlcE', 'Hpdkvh8oa6E', 'cKmO-3t3CLE', '13DPZj3kI88', 'eNMvJTFXAL0', 'B6MIHrLxAms', 'mtCQiWJBhEY', '68HZK2Xamc0', 'PERqBjwng4E', 'LyDU8-H_XW4', 'LZkjBiCXPu4', 'CE9UdrlhMLM', '4pMAomTNGqc', 'oY-t6IPSNys', 'hvsOHznwmwI', 'JQ68awcHneg', 'BBWtZ35ulg0', 'G7aW5XAQ5Kw', '2D5_cJ1KaIE', '9FKgBEghrCI', 'A7MGpaOMxrA', 'DtVRZaljLSo', 'SNjZJ26PLy8', 'tAhHCMrCGao', 'JVyOY5w4By4', '-LFM5H3oqdo', '50kVfu8Gqt8', 'F5TP8ibGBF0', 't9aOM0kDfS4', 'sTpiy_Pt2fo', 'crsUOc7zeUQ', '22iBd90-0TU', 'TGhDZq1E3hU', '-_655-K5kWo', 'Yf9aWB7pLRA', 'kOSl-gRYHkY', 'gftAXC1OWS4', 'QQ6jPzShhho', 'U-WI6NVr7CA', 'OJ_aFPz-Yww', '-4oy_ta4SfI', 'C8gXULicIaE']"
Historical Facts,"['SfoCe-cZqoI', 'odk4qwsOPws', 'aey-Fv6ysAg', 'OuZrXdy5zWI', 'M1lL9wje4ws', 'EWaqFH5aBWY', 'vs466DwfRy8', 'Xv-_c3WtY8M', '-Yu7TR51nfs', 'qNAoaUwJAlE', 'jVYuBT55ObE', 'Rnw6SMD7tmo', 'XPVq7TVqQyY', 'TIztrPNcXVU', 'vDHFcvWnW14', 'S4QXEZ7gUWU', '-vduLtPIcmc', 'x6x1YoSv-r0', 'RijbAK_LuFg', 'O8dlh6z5Hkk', 'HyXir_Cg2dA', '9LvtfB3IsDM', 'c1zqfitGz_8', 'Eh0WHQWR_fk', 'wpBV9xZeayA', '7UVWVe8Dmok', 'IwHgvXybSwg', 'RI9zZwGOdss', 'mXJw70Sf-pc', 'ucW6UXO-Tj4', 'zFe0UI0XbxI', 'YNSTcsi-5rA', 'A-Nc1msLUIg', 'LuOVFY4KD-4', 'aGqh_b9CyAw', 'oQk8zsqcvoI', 'csfExPy_g3M', 'o4wior994OI', 'A-3JwLeD8XU', 'v_xcDgFjahU', 'XBNMQvqXUic', 'tLjR74vnQKQ', 'Fax6_4LMxto', 'whVyZW6vog4', 'xF_nlfg5Gdk', 'Tv5W5DUnQeU', 'qwI1YUgdJUM', 'o3Qaz5H0Yzg', '9V4xqhLvUF0', 'i54xVJOWYz8']"
Astrology Insights,"['nRAkP1LtJik', '27FhMAu2qbQ', '-HSCawJ7sNA', 'Aie_B0FdWhg', 'Va2p7i7JkHM', 'Iw3dyn8rA_w', 'VSms55s435Y', 'ypKz0xrRglM', 'FFBJtNvglqk', 'FhF2DPpKNGk', 'qUzto0NkS2U', 'o9uKnWWg8eE', 'W3qr2QSbNwA', 'z6g3SAZh2Y8', 'pN8EZMQNc6I', 'ojBaVubB0ns', 'aEH_MNod-Hw', '2itclJOUyOE', 'h5zZpm5DEmA', 'zYrTaVgA6SM', 'iy2J-LDl-kY', 'aIRUkvIXSMU', 'bMwALnRNviQ', 'aINW-3WOkl4', 'dfDF5aabUX4', 'ZPnpgREadcY', 'eLtmjldEwbc', 'WXmvWJayLWo', 'x5vTu7gHX7A', 'WPSVKORU1hQ', 'D4hMUtAm5ik', 'ux79v-JECjA', '5AbsItCVJu8', 'cpFvPyZSr0I', '-dI007_4eD0', 'XJqoQS75yc0', 'jjefXrHytv4', 'A0S3JQ-H4jY', 'mCFBPMTyN7E', 'XzikWRSeTlU', 'LIoexra05rc', 'c1CJeiO8b80', 'VHiacVUt-9c', 'DPQIfYpQMco', 'feQ9eJ-5024', '0JyiP-IWQpE', 'UNhn6wONwy8', 'zce6D_aG-eg', 'H5lWAWJXly8', 'm6BMl35tUC4']"
Magic Tricks,"['objSKD1Dhn4', 'uvtS1Vq6ptc', 'DnLjHW5nI5M', 'n5S4B8Xyt7E', 'rV76gkaFF_E', 'RMliRXsmzNs', 'A4mFpWHsWbw', 'v-YdgZmf618', 'Y3u9bfN8u8M', 'vE7KlwYMVOc', 'TRn1sMNqK8o', 'vNgwvGviwEM', 'l36uaaqSbYs', 'bBwBABmEL6c', 'YPOLqWnHp68', '2EouUcSX3Hg', 's2O_doa9bg0', 'vYgBQOkpQr4', 'iSFDDXdH7-o', 'C5C4RY9KE88', 'Iyoj2j1G4u0', '-w-zTmkKdWY', 'gpcHBfl7D7w', 'tLxrbkdGzKI', 'uGj7jtgNfQ0', 'MOCyNUq7g0Q', 'FqOML9SFuNQ', '5ynRfkzzHrI', '6Chnhq0wG5Y', 'Sx3vlF_rXBU', '2KIdrREYD2Y', '4n8NQoMsxAM', 'svJvU0KhLCg', 'EH-0DzxxCzw', 'SRuQ2ASszmo', '6Mqi1bnxH_0', 'EvhfcBJJJ3o', '9CFT1FJ0lbc', 'H5aReY4IWMM', '2DapBoabrwQ', 'pn8L0dt0-2g', 'lWTat2sNJv0', 'G8owOCF0oJw', 'vRCgYre19vQ', 'ziKi_EYe4lo', 'gX_v66ewCds', 'INePyg9DtC4', '4LOn8LmA2nI', '4IzRC64LFCY', 'Fd0PzIzzHP4']"
Celebrity Gossip,"['xlT2eIQmuEg', 'jpXU8oGPp74', 'QdGlVyuqI7o', 'RXRaPI6nPEI', 'MQuR6fXiMYo', 'DbKn6rHwpQE', 'yeQLXIfuPUU', 'hXYlGniF20o', 'SflfZwpPMjU', '3P2G1pqo76Q', 'hd7Mpwae3TE', 'FuJP0SQB7Es', '3tJD1q2wFoM', 'ls5COWgo7nw', '9PWGVof9Vnw', 'cErbZ52ZVRI', 'g5PI11imnHU', 'ZsbzPRH1Yp8', 'Bw77IYi4hio', 'uS7r8GvxXc8', 'deA6xU8037E', 's5iOC6vh1Q4', '870UptUxsUY', 'menaZ_PmeEs', 'DckSMDKgHJQ', 'VIvbzV95BWU', 'fK1ErwnOQcY', 'G734iWRb9mU', 'Ssa_RnYo0PE', '6XwwbM1wEEw', 'spjg1ntzgFc', 'meKZkzItdMQ', 'FqZoJDOSHY8', 'NR8prxHLc7o', 'OkzUfef_JdA', '2mmvOyCbfxA', 'HC1LMK91k3Y', 'I8qg8vsWIjU', 'jyE5Pf55UpY', 'Y_Hke0HXyiU', '_4vlCLBuh50', 'n2wIfaK59Ms', 'LQHkoWVhVNk', 'v9nymdvchQo', 'GkfkUE7TsaA', 'GurT_RVksT4', 'un_oueAkMs0', 'dw3P56rEDVA', 'fLciJTzPL_k', 'kKWeJos1xE8']"
Investment Tips,"['6SO4CpD2woc', '2s9m8wVWo-U', 'OHdkVWtS22w', 'd-YtI7rbsHQ', 'T17Z_2yCmEM', 'Ux6E4GSmyt0', 'rxeoEx1N0hk', 'UwTN9n2adtM', 'T3gG30otCJA', 'kGZh6X8HBw8', '4NFLnn-hnBQ', 'q2YUeuwi72U', 'VG9BaH1vRiU', 'OFxJfsFuVyw', 'sNz7re8UXik', '-TWAP7pO8eM', '_kb-LbShgCE', 'LNAsysiJwjs', 'gzsbOglVR30', '1hV5pFnvBDw', 'kCon_gqNZ7w', 'xv4PQhmU8Bc', 'Fwsy7VAZZes', '6X8OGWK4qWo', 'P-7ojHH_vjA', 'kQlyUWohx3w', 'ekUHkQ0Pm6A', 'BwqJXCJUTbY', 'XGw5idiqiZE', 'ZnOuwjpJlnE', 'Tnjt4ILavCA', 'I1vJCMns3Qk', 'geGp7z-mS4s', 'fEgdoqsTVVM', 'PFKPwnuX_bc', '0nB7VURCZOQ', '1axOVjIUR0I', 'VK6jK9VoOUc', '9QlQoeokVLo', 'sBDAnQaDrP0', '_jHXA8HyUYA', '1BsHMx_fFyU', '1PSdzTBVcX0', 'PkWrMi6uMlo', 'tjFoEQwMuyg', 'QwVnZFfe-4g', 'eTBB10kQWPw', '0OZ-QtAVwlY', 'pg75AX_L2qY', '7Pql7LT_Es4']"
Sustainability Ideas,"['LrtV_N125lU', 'VSegPxToWxg', 'rZ6WGB-hq5g', '3Js-nXqlKwA', 'p8j-Zp6xyCM', 'NRj4jJCYmaU', 'RCOt5dxX1Bw', 'mdSEBjRYudI', '2Wzj_Qr47gY', '9F5NOdJoJHY', '4AM-4nlbTu0', 'qkmxsKoPYsI', '_hD6z3lNdbk', 'cabqujpoOKU', '2kP_dZQpmGE', 'NxTfhTi0J-g', 'qNn88qa_-gI', 'oZd-aqfAG8E', 'AO5TCN5XwO0', 'bNOG2L2Ho5Y', 'rf-WV6RkPlQ', '_OogH2-PvWc', 'gwrtUskGV_s', 'QGqYQOpZ2Sw', 'kVHhxXhZG8g', 'nMVmQEQrOIE', 'ZIaZD9Vn0ME', 'F4_DDxYQUYE', 'IqBVZ3HbtQ4', 'ESkDVYvzuqk', 'As3BjIcnCPQ', 'UVcUdcx9rJY', 'i_wMvhIP5y4', 'n6bgQ_e8E5A', 'ichTDtzD6bM', 'T4EBqiCZ9W8', 'jSncsLIUjq8', 'Wf98KN_4gq4', 'dx6ROYv2AZY', '5bsLkjAGH2M', 'sb6728P_nBA', 'fjetKIw_mZ0', 'JKozTglp4v8', 'ieOtH98v7YI', 'JT-7QUCbgF8', 'Qz1SHaEqclM', '5btKr4k9ntE', 'ZG1BSsoP5bE', 'QCR5_BX2O5Q', 'axVdNNiutw4']"
Cultural Insights,"['VnX1i0sF91E', 'kD02FggQ5y8', 'I_rRY8nMzIY', 'QLc1Ak-63-Y', 'ErvBfJEOw24', 'T1Ru5vtImNw', 'F31e88E5wes', 'JdEeN9Gfnno', 'v5BpqWv6oAU', 'e3KVFGAStzU', 'LhoQHj5B_28', 'D3v3s17255I', 'wgf9nS93_WU', 'pgJ5DcAhvcA', 'OdjO5e6-0-A', 'EC458uPRuss', 'jCmvDGZd9Ng', 'phfz2JLu1I4', 'APOeqyFT2K4', 'jAlYbKI-4ic', 'Zf7yp8RiL6Y', '_QNFh5pj8l0', '3KwGadic1S8', '4JrcaOe9uH8', 'PRE2wzneUu8', 'w1ubC1JKmj0', 'rYzFo8mAmG4', 'AA38T0dNLBQ', 'tASu_8BV1ac', 'LKI9V00B6Z4', 'OdigP3FVZBE', 'Ku_b6MJAR4E', 'F1OnWQ4257M', 'um91l6om7PY', 'ExUFLr80kbg', 'pxK1LrBW54s', 'QJc7CvEu5AI', '5ZmwxztmE-I', 'E2f55-OlYeE', '1FtSz7ndAOI', 'Id_BFdgPPEw', 'jbr4Kj6z7pY', '4eJNz20GXP4', 'ti_h434-Src', 'peg41XIplcc', 'VGoW_hXvBV8', '0a-mX6hZolE', 'yKXTERiKg-g', 'SSQOeYxmTAo', 'tSCufsVErZs']"
Street Food Tour,"['DvaVgTdKHDg', 'y3zLcCOnUzo', 'YGO5XBIwPUE', 'F9khMrxxy7Q', 'PFRW8P7HjOs', '2HrkzdQULFQ', 'v1lgpI3Ih-E', 'G2LjVpdtqdE', 'd6hioSGuYwI', 'EDuBqIUEWLY', 'yvCvpEgP5kY', '1GAyX_sAC1c', 'yLF_YHaxXis', 'fG1xnXX4lFs', '-oxf9lUTTvY', 'OJ_aFPz-Yww', '2Np7DC2UG3U', '-NrRxWiXZVI', 'U461sJrvbGc', '3Rejkzm-7jM', 'LQy2TSkAUa8', 'zoGmGOAt0As', 'mA1rVYUq0TU', 'Sn0I1HxhMW0', 'Rl0s0LTWQ1M', 'swlvGSq4URI', 'ZPQ-pqM__jQ', 'DwBrUPBSyHY', 'nb5f8quEL5Y', '_ZQX56hqUKI', 'q0Kyyy4jQmg', 'hDMv-YSuyrk', 'adq_h5UbNVU', 'Nk18d5gHxhg', 'jkQhf3ENKFc', 'pK7OG7R85pw', '5MElOeg2XYY', 'torDOFOSqqc', 'BvwCmfuCzSc', 'iKvAA8HPhio', '5yjO2J6eRe8', 'hClGyEmuz3g', 'sl1yR5CYVLI', 'h71MREundQA', '5d5eM6j8144', '06EtjSVHzi4', 'sIAMqECTA8U', '17hP86pWnbc', 'Tje6iARN8gI', 'Bj5OJcHFh8M']"
